waktu,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
1/1/2010,8302,3755,6855,4815,20798
2/1/2010,7518,4431,8246,4638,21753
3/1/2010,8084,5179,9068,6203,26222
4/1/2010,9298,5154,9560,6013,24381
5/1/2010,9485,4439,9544,6043,21024
6/1/2010,11886,5965,8875,6704,26006
7/1/2010,11524,6006,9586,5623,27737
8/1/2010,9741,6025,9310,6063,22638
9/1/2010,6652,3504,7299,4924,18413
10/1/2010,10708,5970,9407,7015,25322
11/1/2010,12932,5750,9791,7003,22623
12/1/2010,12461,5158,8942,6166,23763
1/1/2011,12590,4928,10673,6630,27619
2/1/2011,9958,4558,10480,6802,25532
3/1/2011,10186,4193,13074,8016,32275
4/1/2011,8160,2056,10913,7256,21128
5/1/2011,10453,3673,11048,7520,19554
6/1/2011,11075,2165,11009,7519,26175
7/1/2011,14107,5234,13724,9258,30149
8/1/2011,11132,4600,8902,7445,25207
9/1/2011,12723,4887,7749,8261,30655
10/1/2011,13065,4024,11495,9271,31109
11/1/2011,10311,2907,13532,8732,15195
12/1/2011,15784,2191,11817,7859,26076
1/1/2012,13345,1553,11941,5600,28675
2/1/2012,13556,1904,12642,8488,32574
3/1/2012,13198,4686,11982,7176,32382
4/1/2012,13664,3732,12020,6791,33135
5/1/2012,13112,6733,12368,12012,33447
6/1/2012,13444,7410,13034,11389,35708
7/1/2012,13995,7486,12313,13233,35034
8/1/2012,11028,5040,9195,10125,24502
9/1/2012,15322,7828,13966,13068,32022
10/1/2012,14882,9178,15005,15655,34617
11/1/2012,14637,7653,14312,14390,35845
12/1/2012,12559,6117,10140,8650,33411
1/1/2013,12734,5746,13168,12929,35923
2/1/2013,13675,9529,13705,14909,35318
3/1/2013,15788,11497,12689,8399,32726
4/1/2013,15426,6707,12836,13602,39668
5/1/2013,15941,8313,11819,10008,36282
6/1/2013,14882,7550,13204,15578,35125
7/1/2013,15477,8505,14000,16838,39210
8/1/2013,11689,4163,10487,12006,24899
9/1/2013,18099,7600,14269,16903,40235
10/1/2013,20445,7629,15216,13257,39246
11/1/2013,17039,9578,13964,14539,40781
12/1/2013,14747,4676,11982,15036,34819
1/1/2014,16084,9635,13403,14687,35886
2/1/2014,18988,11915,14393,13581,38631
3/1/2014,16376,14529,13668,14013,38959
4/1/2014,15694,13024,13151,13739,39323
5/1/2014,12260,16356,10600,12662,31440
6/1/2014,15921,17215,11398,12510,39107
7/1/2014,16141,12986,9442,12001,28757
8/1/2014,14701,14799,10627,12512,30273
9/1/2014,15750,16327,12421,14311,29247
10/1/2014,15550,14896,11795,15159,31538
11/1/2014,14593,12418,11463,9703,28835
12/1/2014,13168,5047,9607,10045,27123
1/1/2015,14536,16855,11365,12683,27166
2/1/2015,14523,13682,11220,10017,26743
3/1/2015,16258,13951,10212,12387,31790
4/1/2015,14855,10583,9662,8019,30050
5/1/2015,14486,11301,9126,10017,23221
6/1/2015,14221,15035,8748,9669,23960
7/1/2015,8744,8861,7087,9803,13488
8/1/2015,15808,13226,9408,9916,31986
9/1/2015,13293,14355,10564,10017,32403
10/1/2015,13999,14609,9835,9405,29826
11/1/2015,14144,14920,8723,9288,29592
12/1/2015,12941,11875,6577,10584,21541
1/1/2016,13184,17286,7253,10485,24820
2/1/2016,14762,16609,7313,9275,25398
3/1/2016,14504,18303,7075,9099,29931
4/1/2016,14402,13423,6152,8019,30983
5/1/2016,15928,15746,6003,6172,31559
