waktu,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
2018-03-01,17159.0,10792.0,19152.0,9729.0,31424.0
2018-04-01,18869.0,17016.0,17863.0,8505.0,29360.0
2018-05-01,17733.0,14324.0,16967.0,12555.0,28950.0
2018-06-01,6720.0,9096.0,9976.0,7515.0,18642.0
2018-07-01,17964.0,15226.0,19341.0,10503.0,34984.0
2018-08-01,17510.0,14862.0,17139.0,10764.0,31149.0
2018-09-01,17110.0,10960.0,16156.0,8880.0,29821.0
2018-10-01,21026.0,15489.0,15223.0,8514.0,36119.0
2018-11-01,17910.0,15845.0,13883.0,10107.0,31981.0
2018-12-01,16289.0,13087.0,12470.0,8316.0,26661.0
2019-01-01,14769.0,10064.0,16383.0,8271.0,25081.0
2019-02-01,16305.0,10637.0,14620.0,8307.0,23443.0
2019-03-01,19625.0,8144.0,16121.0,6291.0,28732.0
2019-04-01,16126.0,11631.0,10076.0,7677.0,29408.0
2019-05-01,14178.0,11048.0,11761.0,8775.0,29103.0
2019-06-01,6020.0,7563.0,11968.0,7236.0,18541.0
2019-07-01,13013.0,13894.0,14600.0,8172.0,29362.0
2019-08-01,15415.0,11909.0,14240.0,8622.0,28929.0
2019-09-01,17537.0,12431.0,12712.0,8118.0,31831.0
2019-10-01,17530.0,14503.0,13983.0,8721.0,30944.0
2019-11-01,15911.0,13210.0,11974.0,10077.0,28970.0
2019-12-01,10855.0,12305.0,13327.0,10116.0,27453.0
2020-01-01,14173.0,12777.0,12295.0,10512.0,24119.0
2020-02-01,15778.0,11373.0,10903.0,8613.0,25053.0
2020-03-01,18162.0,12068.0,10359.0,5085.0,26191.0
2020-04-01,1330.0,1183.0,1113.0,1042.0,2053.0
2020-05-01,0.0,101.0,919.0,779.0,695.0
2020-06-01,331.0,1267.0,2404.0,2755.0,3705.0
2020-07-01,1553.0,2016.0,4690.0,6369.0,7224.0
2020-08-01,6651.0,3047.0,4867.0,3501.0,8673.0
2020-09-01,11204.0,5856.0,6630.0,6246.0,13150.0
2020-10-01,8289.0,7732.0,7118.0,5143.0,16345.0
2020-11-01,6772.0,8448.0,8743.0,8217.0,15361.0
2020-12-01,6481.0,7447.0,9224.0,7868.0,18687.0
